d_opt,sigma_d,tissue,d,k_rel,loss
4e-08,1e-08,Transport-Resistant,2e-08,1e-06,3.2826495733184173e-06
4e-08,1e-08,Transport-Resistant,2e-08,1.4677992676220705e-06,4.315710468162864e-06
4e-08,1e-08,Transport-Resistant,2e-08,2.1544346900318822e-06,5.883118069659303e-06
4e-08,1e-08,Transport-Resistant,2e-08,3.162277660168379e-06,8.154451350249408e-06
4e-08,1e-08,Transport-Resistant,2e-08,4.641588833612782e-06,1.1224546436072632e-05
4e-08,1e-08,Transport-Resistant,2e-08,6.8129206905796085e-06,1.5018341079371802e-05
4e-08,1e-08,Transport-Resistant,2e-08,9.999999999999999e-06,1.9236744063960236e-05
4e-08,1e-08,Transport-Resistant,2e-08,1.4677992676220675e-05,2.3396864177782947e-05
4e-08,1e-08,Transport-Resistant,2e-08,2.1544346900318823e-05,2.6974040838969287e-05
4e-08,1e-08,Transport-Resistant,2e-08,3.1622776601683795e-05,2.958543500742063e-05
4e-08,1e-08,Transport-Resistant,2e-08,4.641588833612772e-05,3.111029859162925e-05
4e-08,1e-08,Transport-Resistant,2e-08,6.812920690579608e-05,3.167993503680746e-05
4e-08,1e-08,Transport-Resistant,2e-08,0.0001,3.1568587217041085e-05
4e-08,1e-08,Transport-Resistant,2e-08,0.0001467799267622069,3.1071337820281705e-05
4e-08,1e-08,Transport-Resistant,2e-08,0.00021544346900318823,3.0428315637287063e-05
4e-08,1e-08,Transport-Resistant,2e-08,0.00031622776601683794,2.9801243822003215e-05
4e-08,1e-08,Transport-Resistant,2e-08,0.00046415888336127773,2.928135677017491e-05
4e-08,1e-08,Transport-Resistant,2e-08,0.0006812920690579609,2.8908000311525608e-05
4e-08,1e-08,Transport-Resistant,2e-08,0.001,2.868593616806133e-05
4e-08,1e-08,Transport-Resistant,2e-08,0.001467799267622069,2.8598063432956377e-05
4e-08,1e-08,Transport-Resistant,2e-08,0.002154434690031882,2.861391357533585e-05
4e-08,1e-08,Transport-Resistant,2e-08,0.0031622776601683794,2.8695293801878885e-05
4e-08,1e-08,Transport-Resistant,2e-08,0.004641588833612777,2.8800654157582207e-05
4e-08,1e-08,Transport-Resistant,2e-08,0.006812920690579608,2.8889232042058573e-05
4e-08,1e-08,Transport-Resistant,2e-08,0.01,2.892501527734057e-05
4e-08,1e-08,Transport-Resistant,2.2500000000000003e-08,1e-06,3.2969466642608785e-06
4e-08,1e-08,Transport-Resistant,2.2500000000000003e-08,1.4677992676220705e-06,4.351446782957318e-06
4e-08,1e-08,Transport-Resistant,2.2500000000000003e-08,2.1544346900318822e-06,5.952449373688009e-06
4e-08,1e-08,Transport-Resistant,2.2500000000000003e-08,3.162277660168379e-06,8.273233907676694e-06
4e-08,1e-08,Transport-Resistant,2.2500000000000003e-08,4.641588833612782e-06,1.1411946208023558e-05
4e-08,1e-08,Transport-Resistant,2.2500000000000003e-08,6.8129206905796085e-06,1.529658299365168e-05
4e-08,1e-08,Transport-Resistant,2.2500000000000003e-08,9.999999999999999e-06,1.962843075288468e-05
4e-08,1e-08,Transport-Resistant,2.2500000000000003e-08,1.4677992676220675e-05,2.3915846711305233e-05
4e-08,1e-08,Transport-Resistant,2.2500000000000003e-08,2.1544346900318823e-05,2.7612579423716133e-05
4e-08,1e-08,Transport-Resistant,2.2500000000000003e-08,3.1622776601683795e-05,3.03089353414703e-05
4e-08,1e-08,Transport-Resistant,2.2500000000000003e-08,4.641588833612772e-05,3.18668946888192e-05
4e-08,1e-08,Transport-Resistant,2.2500000000000003e-08,6.812920690579608e-05,3.2418555631545826e-05
4e-08,1e-08,Transport-Resistant,2.2500000000000003e-08,0.0001,3.225298787180675e-05
4e-08,1e-08,Transport-Resistant,2.2500000000000003e-08,0.0001467799267622069,3.1683953532924326e-05
4e-08,1e-08,Transport-Resistant,2.2500000000000003e-08,0.00021544346900318823,3.0966292780281296e-05
4e-08,1e-08,Transport-Resistant,2.2500000000000003e-08,0.00031622776601683794,3.026979456026109e-05
4e-08,1e-08,Transport-Resistant,2.2500000000000003e-08,0.00046415888336127773,2.9687919218508764e-05
4e-08,1e-08,Transport-Resistant,2.2500000000000003e-08,0.0006812920690579609,2.9257965070817017e-05
4e-08,1e-08,Transport-Resistant,2.2500000000000003e-08,0.001,2.8980238013447395e-05
4e-08,1e-08,Transport-Resistant,2.2500000000000003e-08,0.001467799267622069,2.883228539211412e-05
4e-08,1e-08,Transport-Resistant,2.2500000000000003e-08,0.002154434690031882,2.877860704583888e-05
4e-08,1e-08,Transport-Resistant,2.2500000000000003e-08,0.0031622776601683794,2.8777426917045134e-05
4e-08,1e-08,Transport-Resistant,2.2500000000000003e-08,0.004641588833612777,2.8786128073085752e-05
4e-08,1e-08,Transport-Resistant,2.2500000000000003e-08,0.006812920690579608,2.8765902622152182e-05
4e-08,1e-08,Transport-Resistant,2.2500000000000003e-08,0.01,2.8685416388999747e-05
4e-08,1e-08,Transport-Resistant,2.5000000000000002e-08,1e-06,3.321160698915929e-06
4e-08,1e-08,Transport-Resistant,2.5000000000000002e-08,1.4677992676220705e-06,4.398438613651277e-06
4e-08,1e-08,Transport-Resistant,2.5000000000000002e-08,2.1544346900318822e-06,6.034274282121272e-06
4e-08,1e-08,Transport-Resistant,2.5000000000000002e-08,3.162277660168379e-06,8.40514542840278e-06
4e-08,1e-08,Transport-Resistant,2.5000000000000002e-08,4.641588833612782e-06,1.1611994506812432e-05
4e-08,1e-08,Transport-Resistant,2.5000000000000002e-08,6.8129206905796085e-06,1.558559726443115e-05
4e-08,1e-08,Transport-Resistant,2.5000000000000002e-08,9.999999999999999e-06,2.0027768021909e-05
4e-08,1e-08,Transport-Resistant,2.5000000000000002e-08,1.4677992676220675e-05,2.4438695420429516e-05
4e-08,1e-08,Transport-Resistant,2.5000000000000002e-08,2.1544346900318823e-05,2.8251249711656068e-05
4e-08,1e-08,Transport-Resistant,2.5000000000000002e-08,3.1622776601683795e-05,3.102884507366881e-05
4e-08,1e-08,Transport-Resistant,2.5000000000000002e-08,4.641588833612772e-05,3.261541039241e-05
4e-08,1e-08,Transport-Resistant,2.5000000000000002e-08,6.812920690579608e-05,3.314293278129549e-05
4e-08,1e-08,Transport-Resistant,2.5000000000000002e-08,0.0001,3.291500778536274e-05
4e-08,1e-08,Transport-Resistant,2.5000000000000002e-08,0.0001467799267622069,3.226409372690314e-05
4e-08,1e-08,Transport-Resistant,2.5000000000000002e-08,0.00021544346900318823,3.146009088334495e-05
4e-08,1e-08,Transport-Resistant,2.5000000000000002e-08,0.00031622776601683794,3.0680863013959034e-05
4e-08,1e-08,Transport-Resistant,2.5000000000000002e-08,0.00046415888336127773,3.00217474518415e-05
4e-08,1e-08,Transport-Resistant,2.5000000000000002e-08,0.0006812920690579609,2.95177404552938e-05
4e-08,1e-08,Transport-Resistant,2.5000000000000002e-08,0.001,2.9164751872623058e-05
4e-08,1e-08,Transport-Resistant,2.5000000000000002e-08,0.001467799267622069,2.893574785018148e-05
4e-08,1e-08,Transport-Resistant,2.5000000000000002e-08,0.002154434690031882,2.879170148853895e-05
4e-08,1e-08,Transport-Resistant,2.5000000000000002e-08,0.0031622776601683794,2.8689711688096462e-05
4e-08,1e-08,Transport-Resistant,2.5000000000000002e-08,0.004641588833612777,2.8588846563882717e-05
4e-08,1e-08,Transport-Resistant,2.5000000000000002e-08,0.006812920690579608,2.8454802591093576e-05
4e-08,1e-08,Transport-Resistant,2.5000000000000002e-08,0.01,2.8262594777826984e-05
4e-08,1e-08,Transport-Resistant,2.75e-08,1e-06,3.3440916098249815e-06
4e-08,1e-08,Transport-Resistant,2.75e-08,1.4677992676220705e-06,4.4414331035734615e-06
4e-08,1e-08,Transport-Resistant,2.75e-08,2.1544346900318822e-06,6.107308674307956e-06
4e-08,1e-08,Transport-Resistant,2.75e-08,3.162277660168379e-06,8.520499248116157e-06
4e-08,1e-08,Transport-Resistant,2.75e-08,4.641588833612782e-06,1.1784366674332588e-05
4e-08,1e-08,Transport-Resistant,2.75e-08,6.8129206905796085e-06,1.5833208919361963e-05
4e-08,1e-08,Transport-Resistant,2.75e-08,9.999999999999999e-06,2.0371446014796766e-05
4e-08,1e-08,Transport-Resistant,2.75e-08,1.4677992676220675e-05,2.4893959078035137e-05
4e-08,1e-08,Transport-Resistant,2.75e-08,2.1544346900318823e-05,2.881494025056843e-05
4e-08,1e-08,Transport-Resistant,2.75e-08,3.1622776601683795e-05,3.1671114261644e-05
4e-08,1e-08,Transport-Resistant,2.75e-08,4.641588833612772e-05,3.328626605339362e-05
4e-08,1e-08,Transport-Resistant,2.75e-08,6.812920690579608e-05,3.378943181592174e-05
4e-08,1e-08,Transport-Resistant,2.75e-08,0.0001,3.349650278558214e-05
4e-08,1e-08,Transport-Resistant,2.75e-08,0.0001467799267622069,3.275808675605609e-05
4e-08,1e-08,Transport-Resistant,2.75e-08,0.00021544346900318823,3.185890295303088e-05
4e-08,1e-08,Transport-Resistant,2.75e-08,0.00031622776601683794,3.098528752405162e-05
4e-08,1e-08,Transport-Resistant,2.75e-08,0.00046415888336127773,3.0234769663275718e-05
4e-08,1e-08,Transport-Resistant,2.75e-08,0.0006812920690579609,2.9640646530412656e-05
4e-08,1e-08,Transport-Resistant,2.75e-08,0.001,2.9195474339943952e-05
4e-08,1e-08,Transport-Resistant,2.75e-08,0.001467799267622069,2.886929206165192e-05
4e-08,1e-08,Transport-Resistant,2.75e-08,0.002154434690031882,2.8621937476368757e-05
